school_name,address,phone,email,source_url
Creverse CDI April Busan Suyeong,"2F, 7 Suyeong-ro 588beon-gil, Suyeong-gu, Busan, Republic of Korea",,,https://www.theworknplay.com/Work/CreverseCDIAprilBusanSuyeong
Milestone Institute (Daechi),"Hanti KR B/D 4,5, South Korea, Seoul, Gangnam-gu, 역삼동 765-28",,,https://www.theworknplay.com/Work/MilestoneInstitute
Creverse CDI April Mapo,"1F - 3F, 282 Dongmak-ro, Mapo-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/CreverseCDIAprilMapo
Creverse April Dongtan 1,"6F, 120 Dongtanbanseok-ro, Hwaseong-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/CreverseAprilDongtan1
Poly Siheung,"7F - 8F, Janggok-Edu Tower, 8 Jinmal 1-ro, Siheung-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/PolySiheung11
Creverse CDI April Gwangmyeong,"3F, 11 Cheolsan-ro, Gwangmyeong-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/CreverseCDIAprilGwangmyeong
Rira Institute,"8-28 2sunhwan-ro 1340beon-gil, Heungdeok-gu, Cheongju, Chungcheongbuk-do, South Korea",,,https://www.theworknplay.com/Work/RiraInstitute
In2English,"3F, Yeongjin Building, 76 Seongbok-dong, Suji-gu, Yongin-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/In2English
JES Island,,,,https://www.theworknplay.com/Work/JESIsland
Parang Kids,"3rd & 4th floor, 20 Dongil-ro 20-gil, Gwangjin-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/ParangKids
Seoul Scholars International,"27 Dogok-ro 99-gil, Daechi-dong, Gangnam-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/SeoulScholarsInternational
Creverse April Songdo 2,"#601, 6F, 155-1 Songdo-dong, Yeonsu-gu, Incheon, South Korea",,,https://www.theworknplay.com/Work/CreverseAprilSongdo2
Creverse CDI Suwon,"2F, 146 Gwanggyo-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/CreverseCDISuwon
Creverse iGarten Daechi,"264 Gaepo-ro, Gangnam-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/CreverseiGartenDaechi
JM English Songpa,"Jeongwon Building, 28, Baekjegobun-ro 36-gil, Songpa-gu, Seoul, Republic of Korea",,,https://www.theworknplay.com/Work/JMEnglishSongpa
Creverse April Bundang Sunae,"5F, Ko-a Building, 12 Sunae-ro 46beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/CreverseAprilBundangSunae
Wonder Primo,"2F, 3F, A Plus Building, 18 Baegot 4-ro, Siheung-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/WonderPrimo
